,title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Has_Service_History,Mileage
30,Saab 9-3,2250,98000,2006,3,Petrol,Convertible,2.0L,Automatic,2.0,4.0,Euro 4,0,98000
31,Volkswagen Polo,2800,106305,2011,4,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,1,106305
32,BMW 1 Series,2490,86000,2011,3,Petrol,Coupe,2.0L,Manual,2.0,4.0,Euro 5,0,86000
33,Vauxhall Corsa,1695,75786,2008,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,75786
34,Vauxhall Corsa,1795,99905,2010,5,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,1,99905
35,Vauxhall Astra,2500,95000,2011,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,1,95000
36,Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,149000
37,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
38,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
39,Vauxhall Corsa,1795,63796,2008,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 4,0,63796
40,Vauxhall Astra,1250,178000,2007,4,Petrol,Hatchback,1.8L,Automatic,5.0,5.0,Euro 4,0,178000
41,Vauxhall Corsa,988,113218,2005,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 4,0,113218
42,Vauxhall Astra,1995,88000,2008,3,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 4,1,88000
43,Vauxhall Corsa,1999,122000,2009,3,Petrol,Hatchback,1.4L,Automatic,5.0,5.0,Euro 4,0,122000
44,BMW 3 Series,1449,57000,1999,3,Petrol,Saloon,1.9L,Automatic,4.0,5.0,Euro 3,0,57000
45,Ford Focus,1290,119000,2002,4,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 3,0,119000
46,Volkswagen Polo,1449,111400,2008,4,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 4,0,111400
47,Vauxhall Corsa,3295,94000,2014,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 5,0,94000
48,Honda Accord,1400,155085,2004,2,Petrol,Estate,2.4L,Manual,5.0,5.0,Euro 4,1,155085
49,Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,93000
50,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
51,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
52,Ford Focus,2249,99000,2009,3,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 4,0,99000
53,Ford Focus,1390,127000,2008,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,127000
54,Ford Focus,1795,104020,2010,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 4,0,104020
55,Peugeot 207,1699,92000,2009,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,92000
56,Ford Fiesta,999,99000,2004,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,99000
57,Volkswagen Beetle,700,101000,2003,5,Petrol,Convertible,2.0L,Manual,2.0,4.0,Euro 4,0,101000
58,Vauxhall Astra,3250,100312,2013,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,100312
59,MG MG6,3245,55000,2012,3,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,55000
60,Ford C-max,1250,135000,2008,5,Petrol,MPV,2.0L,Automatic,5.0,5.0,Euro 4,0,135000
61,Honda Civic,1900,132000,2008,6,Petrol,Hatchback,1.8L,Automatic,5.0,5.0,Euro 4,0,132000
62,Volkswagen Polo,3495,127000,2015,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 6,0,127000
63,MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3.0,4.0,Euro 6,0,46923
64,BMW 3 Series,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4.0,5.0,Euro 6,0,69690
65,Honda Civic,1000,160000,2008,5,Diesel,Hatchback,2.2L,Manual,3.0,5.0,Euro 4,0,160000
66,Citroen C1,1490,65500,2008,3,Petrol,Hatchback,1.0L,Manual,3.0,4.0,Euro 4,0,65500
67,Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,93000
68,Toyota Auris,1695,115000,2007,6,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,115000
69,Hyundai i30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,130000
70,Volkswagen Polo,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,149000
71,Honda Civic,1389,68000,2002,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 3,0,68000
72,Ford Focus,4490,84000,2013,3,Petrol,Hatchback,1.0L,Manual,5.0,5.0,Euro 5,0,84000
73,Honda Civic,990,113000,2004,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 3,0,113000
74,Volvo S40,2849,101000,2009,4,Petrol,Saloon,1.6L,Manual,4.0,5.0,Euro 4,1,101000
75,SEAT Ibiza,2799,99061,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,99061
76,Peugeot 308,9149,55301,2016,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,55301
77,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
78,Ford Mondeo,1990,84815,2003,5,Petrol,Hatchback,3.0L,Manual,5.0,5.0,Euro 4,0,84815
79,Volkswagen Polo,3495,127000,2015,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 6,0,127000
80,Vauxhall Meriva,1600,78521,2011,2,Diesel,MPV,1.3L,Manual,5.0,5.0,Euro 5,0,78521
81,Mercedes-Benz B Class,2650,85000,2008,3,Petrol,MPV,1.5L,Manual,5.0,5.0,Euro 4,0,85000
82,Mazda Mazda3,2990,66000,2009,3,Petrol,Saloon,1.6L,Manual,4.0,5.0,Euro 4,1,66000
83,BMW 3 Series,2495,171090,2010,3,Petrol,Saloon,2.0L,Manual,4.0,5.0,Euro 5,0,171090
84,Nissan 350 Z,4300,100479,2004,3,Petrol,Coupe,3.5L,Manual,2.0,2.0,Euro 3,1,100479
85,MINI Hatch,2499,68000,2008,4,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 4,1,68000
86,Alfa Romeo Mito,1500,120000,2011,2,Petrol,Hatchback,1.4L,Manual,3.0,4.0,Euro 5,0,120000
87,BMW 3 Series,2495,113000,2009,6,Petrol,Saloon,2.0L,Manual,4.0,5.0,Euro 4,0,113000
88,SEAT Ibiza,2799,99061,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,99061
89,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
90,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
91,Ford Focus,2950,105000,2011,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,105000
92,Vauxhall Astra,3300,71000,2012,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,71000
93,Peugeot 207,1490,75000,2007,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,75000
94,Volkswagen Passat,2495,104000,2006,3,Petrol,Saloon,3.2L,Automatic,4.0,5.0,Euro 4,0,104000
95,BMW 3 Series,1995,75350,2005,3,Petrol,Saloon,1.8L,Automatic,4.0,5.0,Euro 3,0,75350
96,Honda Accord,3490,22641,2006,2,Petrol,Saloon,2.0L,Manual,4.0,5.0,Euro 4,0,22641
97,BMW 3 Series,2490,104392,2010,4,Petrol,Saloon,2.0L,Manual,4.0,5.0,Euro 5,0,104392
98,Honda Civic,2995,104068,2010,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,104068
99,Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,79000
100,Vauxhall Corsa,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,93000
101,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
102,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
103,Ford Focus,988,111479,2005,2,Petrol,Hatchback,1.6L,Manual,3.0,5.0,Euro 3,0,111479
104,Citroen XM,3250,126000,1995,4,Diesel,Hatchback,2.5L,Manual,5.0,5.0,Euro 2,0,126000
105,BMW 3 Series,1389,80000,2000,3,Petrol,Saloon,1.9L,Manual,4.0,5.0,Euro 3,0,80000
106,MINI Hatch,1395,99911,2003,4,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 3,0,99911
107,MINI Hatch,2490,46000,2007,3,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 4,0,46000
108,Vauxhall Astra,2895,120000,2014,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,1,120000
109,Vauxhall Antara,3289,79000,2012,3,Diesel,SUV,2.2L,Manual,5.0,5.0,Euro 5,0,79000
110,Vauxhall Insignia,3799,114000,2014,3,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,1,114000
111,Peugeot 207,2945,66000,2008,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 4,0,66000
112,Nissan Note,2499,65000,2009,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,65000
113,Ford Focus,798,140599,2008,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,140599
114,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
115,MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3.0,4.0,Euro 6,0,46923
116,SEAT Ibiza,2799,99061,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,99061
117,Mercedes-Benz A Class,995,184000,2009,3,Diesel,Hatchback,2.0L,Manual,5.0,5.0,Euro 4,0,184000
118,BMW 5 Series,2950,139000,2004,3,Petrol,Saloon,3.0L,Automatic,4.0,5.0,Euro 3,0,139000
119,Honda Cr-v,1389,120000,1999,3,Petrol,SUV,2.0L,Automatic,5.0,5.0,Euro 3,0,120000
120,Proton Savvy,990,85000,2007,3,Petrol,Hatchback,1.2L,Manual,5.0,4.0,Euro 4,0,85000
121,Vauxhall Corsa,1850,93000,2009,4,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,93000
122,Peugeot 207,1990,51116,2008,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,51116
123,MINI Hatch,2695,69000,2005,3,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 3,0,69000
124,Nissan Micra,1895,111998,2007,2,Petrol,Hatchback,1.2L,Automatic,3.0,5.0,Euro 4,0,111998
125,Vauxhall Astra,1995,93101,2008,6,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,93101
126,Ford Focus,2950,105000,2011,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,105000
127,MINI Hatch,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3.0,4.0,Euro 6,0,46923
128,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
129,Fiat Panda,1395,45000,2010,3,Petrol,Hatchback,1.1L,Manual,5.0,4.0,Euro 4,0,45000
130,BMW 3 Series,2495,74325,2007,3,Petrol,Saloon,2.0L,Manual,4.0,5.0,Euro 4,0,74325
131,Vauxhall Corsa,1498,102329,2007,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 4,0,102329
132,Mazda Mazda2,2495,97000,2008,2,Petrol,Hatchback,1.5L,Manual,5.0,5.0,Euro 4,1,97000
133,Vauxhall Insignia,1949,113000,2011,3,Diesel,Hatchback,2.0L,Manual,5.0,5.0,Euro 5,0,113000
134,Vauxhall Corsa,2700,84000,2014,3,Diesel,Hatchback,1.3L,Manual,5.0,5.0,Euro 5,0,84000
135,Renault Megane,1990,43000,2007,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,43000
136,Renault Clio,1400,92000,2006,1,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,92000
137,Hyundai i20,1500,100600,2010,4,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 4,0,100600
138,Ford Focus,2995,100000,2012,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,100000
139,Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,111400
140,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
141,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
142,Citroen C3,1300,120000,2010,1,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,120000
143,Audi A6 Saloon,4250,95000,2006,3,Petrol,Saloon,3.1L,Automatic,4.0,5.0,Euro 4,0,95000
144,Toyota Yaris,2999,27682,2007,3,Petrol,Hatchback,1.3L,Manual,5.0,5.0,Euro 4,0,27682
145,BMW 1 Series,2495,89900,2007,4,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,89900
146,Fiat 500,2499,80742,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,4.0,Euro 5,1,80742
147,SEAT Ibiza,2394,55926,2008,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,55926
148,Hyundai i30,1999,105000,2010,7,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,105000
149,Mercedes-Benz M Class,2495,132000,2004,3,Petrol,SUV,3.7L,Automatic,5.0,5.0,Euro 3,0,132000
150,Peugeot 308,3495,79000,2010,3,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 4,0,79000
151,Audi A4,3995,89000,2008,4,Petrol,Saloon,1.8L,Manual,4.0,5.0,Euro 4,0,89000
152,Volkswagen Polo,3495,127000,2015,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 6,0,127000
153,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
154,Peugeot 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5.0,5.0,Euro 6,0,56984
155,Ford S-max,1839,103900,2009,4,Diesel,MPV,2.0L,Manual,5.0,7.0,Euro 4,0,103900
156,Volkswagen Polo,2595,102000,2010,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,102000
157,Honda Civic,4700,95000,2011,7,Petrol,Hatchback,1.4L,Automatic,3.0,5.0,Euro 5,0,95000
158,Peugeot 1007,2490,36600,2007,3,Petrol,Hatchback,1.6L,Automatic,3.0,4.0,Euro 4,0,36600
159,Vauxhall Corsa,990,130000,2006,1,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 4,0,130000
160,Peugeot 307 CC,1950,70345,2008,5,Petrol,Convertible,1.6L,Manual,2.0,4.0,Euro 4,0,70345
161,Citroen C1,1390,97000,2011,3,Petrol,Hatchback,1.0L,Manual,5.0,4.0,Euro 5,0,97000
162,Hyundai i20,3495,112000,2010,2,Petrol,Hatchback,1.4L,Automatic,5.0,5.0,Euro 4,1,112000
163,Nissan Micra,1490,49000,2004,3,Petrol,Hatchback,1.0L,Manual,5.0,5.0,Euro 3,0,49000
164,SEAT Ibiza,2799,99061,2011,3,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,99061
165,Honda Civic,9198,78691,2018,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,78691
166,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
167,Ford Focus,2350,89000,2010,6,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,89000
168,Honda Jazz,1399,171000,2007,1,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,171000
169,MINI Hatch,1189,125000,2005,3,Petrol,Hatchback,1.6L,Manual,3.0,4.0,Euro 4,0,125000
170,BMW 5 Series,3889,115000,2011,3,Diesel,Saloon,2.0L,Manual,4.0,5.0,Euro 5,0,115000
171,BMW 3 Series,2599,99000,2007,1,Petrol,Saloon,3.0L,Manual,4.0,5.0,Euro 4,0,99000
172,Vauxhall Corsa,2795,71000,2011,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 5,0,71000
173,Ford Fiesta,2699,97500,2009,3,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 4,0,97500
174,Vauxhall Corsa,3999,36000,2014,2,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 5,0,36000
175,Citroen DS4,2700,97385,2013,4,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,97385
176,Peugeot 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,111400
177,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
178,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
179,KIA RIO,3250,66800,2013,1,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 5,0,66800
180,BMW 3 SERIES,2898,98979,2003,3,Petrol,Coupe,2.5L,Automatic,2.0,5.0,Euro 3,0,98979
181,Volkswagen Golf,2950,98207,2007,4,Petrol,Hatchback,1.6L,Automatic,5.0,5.0,Euro 4,1,98207
182,Vauxhall Corsa,1749,60000,2006,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,60000
183,Ford Focus,2495,101591,2010,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,1,101591
184,Mazda Mazda3,3799,68000,2011,2,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,68000
185,Toyota Yaris,1100,164470,2006,3,Petrol,Hatchback,1.3L,Manual,5.0,5.0,Euro 4,0,164470
186,Vauxhall Corsa,2490,86000,2011,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,86000
187,Hyundai i30,3250,90000,2010,3,Petrol,Estate,1.6L,Automatic,5.0,5.0,Euro 4,0,90000
188,Volkswagen Polo,3000,123000,2010,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,123000
189,Volkswagen Polo,3495,127000,2015,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 6,0,127000
190,Vauxhall Corsa,10698,22782,2020,3,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 6,0,22782
191,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
192,Ford Fiesta,2995,67361,2009,1,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 5,1,67361
193,Mitsubishi Outlander,4495,116000,2009,3,Petrol,SUV,2.4L,Automatic,5.0,7.0,Euro 4,1,116000
194,Volkswagen Scirocco,3750,99000,2010,3,Petrol,Hatchback,1.4L,Manual,3.0,4.0,Euro 5,0,99000
195,Ford Fiesta,2945,80997,2009,3,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 4,1,80997
196,Volkswagen Passat,2889,100000,2009,3,Diesel,Estate,2.0L,Manual,5.0,5.0,Euro 5,0,100000
197,Toyota Corolla,995,110846,2005,3,Diesel,Hatchback,2.0L,Manual,5.0,5.0,Euro 3,0,110846
198,SEAT Ibiza,3350,65000,2013,4,Petrol,Hatchback,1.4L,Manual,3.0,3.0,Euro 5,0,65000
199,Audi A3,2499,85578,2008,5,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,85578
200,Vauxhall Corsa,2100,77502,2012,5,Petrol,Hatchback,1.2L,Manual,5.0,5.0,Euro 5,0,77502
201,Audi A3,1800,130500,2011,2,Petrol,Hatchback,1.6L,Manual,3.0,5.0,Euro 5,1,130500
202,Peugeot 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 4,0,87000
203,KIA Sportage,10198,50028,2016,3,Petrol,SUV,1.6L,Manual,5.0,5.0,Euro 6,0,50028
204,Peugeot 308,9149,55301,2016,3,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,55301
205,Vauxhall Astra,2300,64000,2010,6,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 5,0,64000
206,Vauxhall Corsa,1500,96270,2008,9,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,96270
207,Ford KA,1195,45000,2005,3,Petrol,Hatchback,1.3L,Manual,3.0,5.0,Euro 3,0,45000
208,Vauxhall Astra,3250,78000,2011,3,Petrol,Hatchback,1.6L,Manual,5.0,5.0,Euro 5,0,78000
209,Citroen DS3,5299,54000,2014,3,Petrol,Hatchback,1.6L,Manual,3.0,5.0,Euro 5,1,54000
210,Volkswagen Passat,2250,49000,2005,3,Diesel,Saloon,1.9L,Automatic,4.0,5.0,Euro 3,0,49000
211,Vauxhall Zafira,2495,95000,2011,2,Petrol,MPV,1.8L,Manual,5.0,7.0,Euro 5,1,95000
212,Ford Fiesta,7699,58000,2015,3,Petrol,Hatchback,1.0L,Manual,3.0,5.0,Euro 5,0,58000
213,Fiat Grande Punto,1999,76850,2009,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,1,76850
214,Mercedes-Benz B Class,2299,99000,2009,4,Diesel,MPV,2.0L,Manual,5.0,5.0,Euro 4,0,99000
215,Vauxhall Insignia,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5.0,5.0,Euro 5,0,79000
216,Ford Focus,8975,86500,2017,3,Diesel,Hatchback,1.5L,Manual,5.0,5.0,Euro 6,0,86500
217,Mercedes-Benz A Class,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5.0,5.0,Euro 6,0,62402
218,Vauxhall Insignia,3450,147000,2016,2,Diesel,Hatchback,1.6L,Manual,5.0,5.0,Euro 6,0,147000
219,BMW 3 Series,4000,114121,2006,3,Petrol,Coupe,3.0L,Automatic,2.0,4.0,Euro 4,0,114121
220,Renault Clio,1899,82000,2009,2,Petrol,Hatchback,1.2L,Manual,3.0,5.0,Euro 5,0,82000
221,Peugeot 508,3995,91000,2011,3,Diesel,Saloon,2.2L,Automatic,4.0,5.0,Euro 5,0,91000
222,Hyundai i20,5799,69550,2016,3,Petrol,Coupe,1.2L,Manual,3.0,5.0,Euro 6,0,69550
223,Saab 9-3,2000,138000,2008,6,Petrol,Saloon,2.0L,Automatic,4.0,5.0,Euro 4,0,138000
224,Volkswagen Golf,2485,77720,2006,3,Petrol,Hatchback,1.4L,Manual,3.0,5.0,Euro 4,0,77720
225,SKODA Fabia,1995,84000,2008,3,Petrol,Hatchback,1.4L,Manual,5.0,5.0,Euro 4,0,84000
